2022-02-13 13:17:01+00:00,b'@harukamylove @4thgenitboys maybe pineapple on pizza too \xf0\x9f\x98\xb0'
2022-02-13 13:15:00+00:00,b'@HaniPaws @CarlGrimes66 Pepperoni pizza is ok but pineapple is bad imo'
2022-02-13 13:14:02+00:00,b'RT @jakevictor_: Hey\xe2\x80\xa6\n\nCheck for the market demand of your product\n\nBefore you build it\xe2\x80\xa6\n\nAnd before you run an expensive marketing campaig\xe2\x80\xa6'
2022-02-13 13:13:28+00:00,b'@FPL_Eonesta Somehow still not as bad as pineapple on pizza \xf0\x9f\x98\x8f'
2022-02-13 13:12:28+00:00,"b""@kriistiecorn Pineapple pizza. Unfortunately i can't choose 2 otherwise fuck that choco pizza"""
2022-02-13 13:11:45+00:00,"b'RT @blackcircles: \xf0\x9f\x8e\x81 12 DAYS OF ADVENT GIVEAWAY \xf0\x9f\x8e\x81\n\nOn the second day of Christmas, Blackcircles gave to me...\n\nThe chance to win an Ooni Pro\xe2\x80\xa6'"
2022-02-13 13:11:41+00:00,"b'@lunaursaa @Kica333 Ok but like, pineapple does belong on pizza though'"
2022-02-13 13:10:56+00:00,"b'When we cross 1k followers, we are throwing a pizza party. You all like pineapple on your pizza? https://t.co/MBLCaDuQth'"
2022-02-13 13:10:38+00:00,b'RT @TeamCaladrius: Does pineapple go on pizza? \xf0\x9f\x8d\x95\xf0\x9f\x91\x80'
2022-02-13 13:10:03+00:00,b'@Red63824598John Just because someone asked for pineapple on their pizza'
2022-02-13 13:07:19+00:00,b'Does pineapple go on pizza? \xf0\x9f\x8d\x95\xf0\x9f\x91\x80'
2022-02-13 13:05:48+00:00,"b'RT @MediumSizeMeech: Some of y\xe2\x80\x99all have DEFINITELY lost the plot because \xe2\x80\x9clet people enjoy things\xe2\x80\x9d is about like, pineapple on pizza and te\xe2\x80\xa6'"
2022-02-13 13:03:19+00:00,"b""@kriistiecorn That's dam ez pineapple pizza of duh!?\xf0\x9f\x99\x84"""
2022-02-13 13:01:40+00:00,b'RT @flmanoban: mga may gusto ng pineapple sa pizza \xf0\x9f\x9a\xa9\xf0\x9f\x9a\xa9\xf0\x9f\x9a\xa9'
2022-02-13 13:00:26+00:00,b'mga may gusto ng pineapple sa pizza \xf0\x9f\x9a\xa9\xf0\x9f\x9a\xa9\xf0\x9f\x9a\xa9'
2022-02-13 12:59:18+00:00,b'Pineapple amid Pizza.'
2022-02-13 12:54:21+00:00,b'RT @RickToons_Anim: Ok let me be honest\n\nPineapple on Pizza is amazing you\xe2\x80\x99re missing out'
2022-02-13 12:47:15+00:00,b'@kriistiecorn i hate pineapple pizza so pineapple pizza has to go\xf0\x9f\x98\x80'
2022-02-13 12:46:52+00:00,"b'I put pineapple, corn and olives on pizza \xf0\x9f\x98\x8e\xf0\x9f\x8c\xbd\xf0\x9f\x8d\x8d'"
